Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule_ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,e1,e1-quantised,a1r,a1r-quantised,c1,c1-quantised,n1,n1-quantised,o1,o1-quantised,e2r,e2r-quantised,a2,a2-quantised,c2r,c2r-quantised,n2r,n2r-quantised,o2,o2-quantised,e3,e3-quantised,a3r,a3r-quantised,c3,c3-quantised,n3,n3-quantised,o3,o3-quantised,e4,e4-quantised,a4,a4-quantised,c4r,c4r-quantised,n4,n4-quantised,o4,o4-quantised,e5r,e5r-quantised,a5,a5-quantised,c5r,c5r-quantised,n5r,n5r-quantised,o5,o5-quantised,e6,e6-quantised,a6r,a6r-quantised,c6,c6-quantised,n6,n6-quantised,o6,o6-quantised,e7r,e7r-quantised,a7,a7-quantised,c7,c7-quantised,n7r,n7r-quantised,o7r,o7r-quantised,e8,e8-quantised,a8r,a8r-quantised,c8,c8-quantised,n8,n8-quantised,o8,o8-quantised,o9r,o9r-quantised,a9,a9-quantised,c9r,c9r-quantised,o10,o10-quantised,END QUESTIONNAIRE
1,1.70196E+12,7/12/2023 15:11,1.70196E+12,0,7/12/2023 15:11,13764,4,questionnaire-7tij,,33520150,BLIND,9924242,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1470x956,1470x817,,,,The Big Five Inventory (BFI) ,2,No,5,5,4,4,3,3,1,1,4,4,3,3,4,4,5,5,5,5,5,5,5,5,4,4,2,2,4,4,5,5,5,5,5,5,5,5,3,3,4,4,1,1,2,2,5,5,5,5,3,3,5,5,5,5,3,3,3,3,1,1,1,1,4,4,2,2,4,4,1,1,5,5,3,3,2,2,2,2,4,4,5,5,4,4,4,4,1,1,151309
1,1.70196E+12,7/12/2023 15:11,1.70196E+12,0,7/12/2023 15:11,13764,4,questionnaire-7tij,,33520147,BLIND,9924241,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,1440x900,1440x683,,,,The Big Five Inventory (BFI) ,2,No,4,4,3,3,5,5,2,2,2,2,2,2,4,4,5,5,2,2,4,4,3,3,2,2,4,4,4,4,2,2,3,3,4,4,4,4,4,4,2,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,5,5,3,3,2,2,3,3,3,3,4,4,2,2,5,5,4,4,2,2,4,4,2,2,4,4,4,4,4,4,3,3,4,4,254364
1,1.70196E+12,7/12/2023 15:11,1.70196E+12,0,7/12/2023 15:11,13764,4,questionnaire-7tij,,33520143,BLIND,9924240,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1470x956,1470x803,,,,The Big Five Inventory (BFI) ,2,No,2,2,4,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,4,4,2,2,4,4,4,4,4,4,4,4,3,3,1,1,3,3,3,3,4,4,4,4,2,2,2,2,3,3,3,3,4,4,5,5,4,4,5,5,4,4,4,4,2,2,4,4,3,3,3,3,2,2,5,5,4,4,3,3,2,2,2,2,2,2,4,4,5,5,86957
1,1.70196E+12,7/12/2023 15:11,1.70196E+12,8,7/12/2023 23:11,13764,4,questionnaire-7tij,,33520141,BLIND,9924239,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1470x956,1470x834,,,,The Big Five Inventory (BFI) ,2,No,4,4,3,3,2,2,1,1,3,3,2,2,4,4,1,1,4,4,5,5,5,5,1,1,4,4,4,4,2,2,4,4,2,2,2,2,1,1,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,2,2,3,3,5,5,5,5,2,2,4,4,2,2,3,3,1,1,1,1,4,4,3,3,2,2,4,4,4,4,4,4,199788
1,1.70196E+12,7/12/2023 15:11,1.70196E+12,0,7/12/2023 15:11,13764,4,questionnaire-7tij,,33520139,BLIND,9924237,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1707x960,1707x803,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.70196E+12,7/12/2023 15:10,1.70196E+12,0,7/12/2023 15:10,13764,4,questionnaire-7tij,,33520116,BLIND,9924227,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,,,,The Big Five Inventory (BFI) ,2,No,3,3,3,3,5,5,2,2,3,3,2,2,4,4,2,2,2,2,5,5,4,4,2,2,5,5,4,4,3,3,4,4,2,2,1,1,4,4,4,4,4,4,2,2,1,1,2,2,4,4,4,4,4,4,4,4,2,2,5,5,4,4,4,4,4,4,4,4,5,5,3,3,3,3,5,5,4,4,4,4,1,1,2,2,1,1,4,4,187132
1,1.70196E+12,7/12/2023 15:09,1.70196E+12,0,7/12/2023 15:09,13764,4,questionnaire-7tij,,33520099,BLIND,9924224,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1536x707,,,,The Big Five Inventory (BFI) ,2,No,2,2,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,3,3,3,3,2,2,4,4,5,5,1,1,1,1,4,4,2,2,4,4,1,1,4,4,4,4,2,2,4,4,2,2,1,1,3,3,5,5,3,3,1,1,5,5,4,4,4,4,2,2,5,5,1,1,2,2,4,4,3,3,3,3,4,4,4,4,4,4,2,2,352833
1,1.70196E+12,7/12/2023 15:06,1.70196E+12,8,7/12/2023 23:06,13764,4,questionnaire-7tij,,33520037,BLIND,9924205,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1470x956,1470x834,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.70196E+12,7/12/2023 14:36,1.70196E+12,0,7/12/2023 14:36,13764,4,questionnaire-7tij,,33519150,BLIND,9923964,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,,The Big Five Inventory (BFI) ,2,No,4,4,3,3,4,4,3,3,2,2,4,4,4,4,4,4,3,3,5,5,3,3,2,2,5,5,4,4,5,5,3,3,5,5,4,4,4,4,2,2,2,2,2,2,4,4,2,2,2,2,2,2,1,1,4,4,4,4,5,5,4,4,5,5,2,2,4,4,4,4,4,4,2,2,2,2,4,4,3,3,3,3,4,4,5,5,2,2,358523
1,1.70196E+12,7/12/2023 13:16,1.70196E+12,0,7/12/2023 13:16,13764,4,questionnaire-7tij,,33516992,BLIND,9923275,,live,,,mobile,undefined K,Android 10,Chrome 119.0.0.0,360x780,360x682,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.70195E+12,7/12/2023 12:21,1.70195E+12,0,7/12/2023 12:20,13764,4,questionnaire-7tij,,33514720,BLIND,9922730,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x747,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.70191E+12,7/12/2023 0:15,1.70191E+12,0,7/12/2023 0:15,13764,4,questionnaire-7tij,,33505299,BLIND,9911224,,live,,,mobile,Apple iPhone,iOS 17.1.2,Mobile Safari 17.1.2,390x844,390x663,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.70136E+12,30/11/2023 15:39:25,1.70136E+12,0,30/11/2023 15:39:25,13764,4,questionnaire-7tij,,33330012,BLIND,9868663,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1470x956,1359x778,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.70112E+12,27/11/2023 20:47:31,1.70112E+12,0,27/11/2023 20:47:31,13764,4,questionnaire-7tij,,33257203,BLIND,9845881,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1420x695,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67812E+12,6/3/2023 15:55,1.67812E+12,0,6/3/2023 15:55,13764,4,questionnaire-7tij,,27865248,BLIND,8276582,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 110.0.0.0,1440x900,712x711,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.6781E+12,6/3/2023 10:16,1.6781E+12,0,6/3/2023 10:16,13764,4,questionnaire-7tij,,27845986,BLIND,8271809,,live,,,computer,Desktop or Laptop,Windows 10,Edge 110.0.1587.63,1440x900,718x771,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67501E+12,29/01/2023 15:30:47,1.67501E+12,0,29/01/2023 15:30:50,13764,4,questionnaire-7tij,,26748719,BLIND,7936616,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1536x864,1536x688,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67493E+12,28/01/2023 19:02:08,1.67493E+12,0,28/01/2023 19:02:08,13764,4,questionnaire-7tij,,26737811,BLIND,7933134,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1280x720,1280x609,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67493E+12,28/01/2023 18:55:07,1.67493E+12,0,28/01/2023 18:55:06,13764,4,questionnaire-7tij,,26737616,BLIND,7933079,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1280x720,1280x609,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67458E+12,24/01/2023 17:59:56,1.67458E+12,0,24/01/2023 17:59:56,13764,4,questionnaire-7tij,,26609968,BLIND,7872774,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1470x956,759x698,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67458E+12,24/01/2023 17:49:42,1.67458E+12,0,24/01/2023 17:49:42,13764,4,questionnaire-7tij,,26609627,BLIND,7872654,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1536x864,1536x746,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67453E+12,24/01/2023 02:29:54,1.67453E+12,0,24/01/2023 02:29:54,13764,4,questionnaire-7tij,,26582196,BLIND,7859244,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1470x956,1470x809,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67451E+12,23/01/2023 21:59:21,1.67451E+12,0,23/01/2023 21:59:21,13764,4,questionnaire-7tij,,26579256,BLIND,7857993,,live,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,834x1112,1112x731,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67449E+12,23/01/2023 16:19:27,1.67449E+12,0,23/01/2023 16:19:27,13764,4,questionnaire-7tij,,26567543,BLIND,7853872,,live,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari undefined,1024x1366,1366x917,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67448E+12,23/01/2023 14:30:28,1.67448E+12,0,23/01/2023 14:30:28,13764,4,questionnaire-7tij,,26562860,BLIND,7851987,,live,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,834x1112,1112x731,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67444E+12,23/01/2023 01:25:29,1.67444E+12,0,23/01/2023 01:25:39,13764,4,questionnaire-7tij,,26549908,BLIND,7847362,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1470x956,1085x779,,,,The Big Five Inventory (BFI) ,2,No,4,4,3,3,5,5,3,3,5,5,3,3,4,4,2,2,3,3,2,2,4,4,5,5,3,3,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,5,5,5,5,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,1,1,3,3,2,2,4,4,817996
1,1.6744E+12,22/01/2023 13:52:26,1.6744E+12,0,22/01/2023 13:52:26,13764,4,questionnaire-7tij,,26541411,BLIND,7844259,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1470x956,1470x784,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.6744E+12,22/01/2023 13:52:06,1.6744E+12,0,22/01/2023 13:52:06,13764,4,questionnaire-7tij,,26541406,BLIND,7844257,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1470x956,1470x784,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67432E+12,21/01/2023 17:42:39,1.67432E+12,0,21/01/2023 17:42:39,13764,4,questionnaire-7tij,,26534400,BLIND,7841545,,live,,,computer,Desktop or Laptop,Windows 10,Edge 109.0.1518.55,1280x720,1644x802,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67432E+12,21/01/2023 15:54:36,1.67432E+12,0,21/01/2023 15:53:51,13764,4,questionnaire-7tij,,26533056,BLIND,7841079,,live,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1536x864,1495x715,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67423E+12,20/01/2023 15:15:21,1.67423E+12,0,20/01/2023 15:15:20,13764,4,questionnaire-7tij,,26519062,BLIND,7835616,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1680x1050,1680x840,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67416E+12,19/01/2023 19:15:59,1.67416E+12,0,19/01/2023 19:15:59,13764,4,questionnaire-7tij,,26501856,BLIND,7826753,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1728x1117,1409x777,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67414E+12,19/01/2023 14:25:28,1.67414E+12,0,19/01/2023 14:25:28,13764,4,questionnaire-7tij,,26489082,BLIND,7822502,,live,,,tablet,Apple iPad,iOS 16.2,Chrome 104.0.5112.99,820x1180,585x682,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67405E+12,18/01/2023 14:52:50,1.67405E+12,0,18/01/2023 14:52:50,13764,4,questionnaire-7tij,,26461809,BLIND,7811309,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1728x1117,1409x777,,,,The Big Five Inventory (BFI) ,2,No,3,3,2,2,4,4,2,2,3,3,4,4,4,4,3,3,3,3,5,5,2,2,1,1,4,4,4,4,4,4,4,4,3,3,2,2,2,2,4,4,3,3,4,4,4,4,4,4,3,3,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,2,2,3,3,3,3,2,2,4,4,4,4,4,4,2,2,5,5,4,4,4,4,136132
1,1.67404E+12,18/01/2023 11:45:34,1.67404E+12,0,18/01/2023 11:45:34,13764,4,questionnaire-7tij,,26455402,BLIND,7809306,,live,,,computer,Desktop or Laptop,Windows 10,Edge 109.0.1518.55,1440x900,1393x781,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67404E+12,18/01/2023 11:15:15,1.67404E+12,0,18/01/2023 11:15:15,13764,4,questionnaire-7tij,,26454803,BLIND,7809005,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1440x900,1440x820,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67398E+12,17/01/2023 18:11:18,1.67398E+12,0,17/01/2023 18:11:17,13764,4,questionnaire-7tij,,26445010,BLIND,7805526,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,1710x1112,1710x990,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67381E+12,15/01/2023 19:34:00,1.67381E+12,0,15/01/2023 19:34:00,13764,4,questionnaire-7tij,,26401421,BLIND,7791453,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1470x956,1470x840,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67372E+12,14/01/2023 17:13:01,1.67372E+12,0,14/01/2023 17:13:00,13764,4,questionnaire-7tij,,26386361,BLIND,7788112,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1280x720,1280x601,,,,The Big Five Inventory (BFI) ,2,No,4,4,5,5,4,4,5,5,5,5,2,2,4,4,3,3,2,2,5,5,4,4,2,2,4,4,5,5,5,5,4,4,3,3,4,4,5,5,5,5,4,4,2,2,3,3,1,1,5,5,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,3,3,4,4,2,2,5,5,5,5,1,1,3,3,5,5,5,5,322805
1,1.67358E+12,13/01/2023 03:29:51,1.67358E+12,0,13/01/2023 03:29:51,13764,4,questionnaire-7tij,,26357872,BLIND,7780755,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1470x956,932x748,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.67301E+12,6/1/2023 13:48,1.67301E+12,0,6/1/2023 13:48,13764,4,questionnaire-7tij,,26228570,BLIND,7744762,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.54,1440x900,1440x781,,,,The Big Five Inventory (BFI) ,2,No,1,1,4,4,2,2,5,5,3,3,2,2,1,1,3,3,1,1,4,4,2,2,2,2,4,4,4,4,3,3,2,2,5,5,2,2,5,5,4,4,5,5,4,4,2,2,1,1,3,3,2,2,5,5,2,2,5,5,4,4,5,5,3,3,4,4,2,2,4,4,1,1,4,4,3,3,5,5,5,5,1,1,2,2,2,2,5,5,1031394
1,1.6718E+12,23/12/2022 12:32:34,1.6718E+12,1,23/12/2022 13:32:33,13764,4,questionnaire-7tij,,26107128,BLIND,7707994,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x737,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.6718E+12,23/12/2022 12:28:47,1.6718E+12,1,23/12/2022 13:28:47,13764,4,questionnaire-7tij,,26107096,BLIND,7707986,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x737,,,,The Big Five Inventory (BFI) ,2,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,214197
1,1.67172E+12,22/12/2022 14:00:59,1.67172E+12,0,22/12/2022 14:00:58,13764,4,questionnaire-7tij,,26094782,BLIND,7702985,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,632x534,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.6712E+12,16/12/2022 15:07:30,1.6712E+12,1,16/12/2022 16:07:30,13764,4,questionnaire-7tij,,25993092,BLIND,7678349,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x737,,,,The Big Five Inventory (BFI) ,2,No,4,4,4,4,4,4,2,2,3,3,2,2,4,4,2,2,2,2,4,4,4,4,2,2,5,5,4,4,4,4,4,4,3,3,2,2,5,5,4,4,2,2,4,4,3,3,3,3,3,3,3,3,2,2,5,5,5,5,5,5,2,2,4,4,4,4,2,2,3,3,3,3,3,3,2,2,5,5,4,4,2,2,4,4,3,3,4,4,110058
