ID,age,gender,gov_support,neg_emotion,egal,indv
1,22,1,4.444444444,6.333333333,4.7,4.694444444
4,22,1,7,4.666666667,6.3,1.166666667
5,23,1,6.555555556,4.333333333,5.9,2.666666667
6,23,1,4.777777778,5,5.433333333,3
7,23,1,6.555555556,5,5.066666667,2.416666667
8,23,1,5.555555556,4.666666667,5.666666667,4.25
11,23,1,4,4,5,4
26,23,1,5.111111111,5,5.633333333,2.166666667
27,23,1,7,4.666666667,6.266666667,2.25
28,23,1,4.666666667,6.333333333,6.066666667,2.166666667
29,23,1,5.888888889,5.333333333,5.433333333,2.25
31,23,1,6.555555556,6.666666667,6.2,2.083333333
32,23,1,4.222222222,7,5.966666667,1.25
33,23,1,4.333333333,4.666666667,5.833333333,2.333333333
34,23,1,4.222222222,4.666666667,4.133333333,2
36,22,1,4.222222222,5.666666667,5.466666667,2
38,22,1,4.333333333,7,6.7,1.25
39,22,1,6.111111111,6.333333333,6.4,2
43,22,1,7,6,5.044444444,2.083333333
44,22,1,4.333333333,4.666666667,5.366666667,4.25
45,23,1,6.555555556,4.666666667,4.766666667,3.666666667
47,23,1,7,3.333333333,4.066666667,3.083333333
48,22,1,5.666666667,5.333333333,5.466666667,2.916666667
49,23,1,4.777777778,6.666666667,5.666666667,2.361111111
50,23,1,6.555555556,6.666666667,4,1.083333333
51,22,1,7,7,6.933333333,1
52,23,1,4.333333333,7,6.866666667,1.5
53,23,1,4.222222222,6,5.5,1.166666667
54,23,1,7,6,5.5,1.166666667
55,23,1,5.111111111,5.666666667,5.166666667,1.166666667
57,23,1,3.444444444,5,5.233333333,2.083333333
58,23,1,5.666666667,6.333333333,5,1
59,23,1,4.111111111,5.666666667,6.266666667,1.416666667
60,23,1,5.666666667,6.333333333,6.333333333,2.166666667
61,23,1,4.777777778,3.666666667,6.277777778,3.75
62,23,1,4.333333333,7,6.6,1
66,23,1,5.222222222,6,4.466666667,5.166666667
67,22,1,6.111111111,2.333333333,3.15,4.083333333
68,22,1,6.555555556,3.666666667,3.2,3.5
69,23,1,3,4,4.6,4
70,23,1,5.555555556,2,5.733333333,5.833333333
71,22,1,5.555555556,2,5.25,3.75
72,22,1,4.555555556,2.666666667,5.133333333,4.083333333
73,23,1,5.555555556,5.666666667,4.9,4.916666667
76,24,1,4.333333333,7,6.933333333,1
77,24,1,3.777777778,7,6.733333333,1
79,25,1,5.222222222,7,6.766666667,1
80,24,1,7,4,5.433333333,3.583333333
81,24,1,5.666666667,7,6.033333333,1.25
82,24,1,5,6.333333333,6.6,2.416666667
83,24,2,4.740740741,5,6.766666667,1.916666667
84,24,2,3.777777778,6.333333333,5.633333333,1.666666667
85,24,2,7,5.333333333,6.4,1.833333333
87,23,2,2.888888889,5.333333333,5.9,2.833333333
90,25,2,4.222222222,6,5.466666667,3.25
91,25,2,7,5.333333333,6.7,1.75
93,24,2,4.777777778,6,5.966666667,1
94,24,2,4.222222222,7,6.037037037,1.583333333
95,25,1,5.222222222,7,6.5,1.25
96,24,1,5.666666667,5.666666667,6.4,1.75
98,24,1,4.222222222,2,4.166666667,3.166666667
100,24,1,5.666666667,5.666666667,5.3,3.5
102,25,1,5.222222222,5,5.433333333,1.666666667
104,24,1,6,5.666666667,5.666666667,1.666666667
105,24,1,3.333333333,6,5.033333333,1.666666667
106,24,1,4.222222222,5.666666667,5.066666667,3.333333333
107,24,1,5.111111111,5,4.9,4.666666667
108,24,1,6.111111111,5.666666667,5.166666667,2
109,25,1,5.555555556,5.666666667,4.2,4
110,24,1,3.111111111,5,4.466666667,3.666666667
112,24,1,6.111111111,6.333333333,6.166666667,2.25
113,25,2,5.111111111,6,5.9,1.75
114,25,2,2.666666667,5,4.1,4
115,24,2,4.222222222,4.333333333,6.133333333,2.5
116,24,2,6,5.666666667,5.966666667,2.666666667
119,24,2,7,4.666666667,6.1,4.166666667
123,24,2,5.222222222,5,4.366666667,2.25
126,23,2,2.111111111,4,3.027777778,4
127,24,2,3.333333333,4,4.866666667,3.166666667
128,24,2,3.888888889,6.333333333,4.083333333,3
129,24,2,6.111111111,4.333333333,4.4,4
130,24,2,2.555555556,2,5.55,3.833333333
131,23,2,4.666666667,3.333333333,5.3,3.416666667
134,23,2,4.222222222,2.757575758,3.7,4.166666667
138,25,2,2.777777778,6.666666667,5.966666667,4.166666667
139,23,2,4.666666667,5.333333333,5.033333333,3
140,24,2,4.333333333,4,4,3.75
141,23,2,6.222222222,4,5.1,4
142,24,2,3.555555556,4.666666667,5.033333333,2.333333333
143,25,2,4.111111111,4,3.9,3.666666667
144,24,2,6.444444444,5.333333333,6.066666667,1.083333333
145,26,2,5.555555556,4.333333333,4.433333333,3.833333333
146,26,2,1.888888889,1,3.133333333,2.833333333
147,26,2,5.666666667,6.333333333,4.933333333,4.833333333
148,25,2,2.555555556,4,5.8,3.972222222
149,26,2,5.888888889,7,6.6,5.083333333
150,24,2,3.888888889,6,4.033333333,2.5
151,24,2,3.333333333,4.666666667,3.6,4.333333333
152,25,2,5.555555556,2.666666667,5.1,4.25
154,24,2,4.666666667,6.333333333,5.8,1.5
155,24,1,5.555555556,3.333333333,4.633333333,4.416666667
156,24,1,4.333333333,5.666666667,4.9,2.916666667
157,23,1,2.555555556,3.666666667,4.433333333,3.083333333
158,23,1,5.555555556,5.666666667,5.566666667,1.916666667
160,25,1,4.333333333,5.666666667,5.766666667,3.333333333
161,28,1,5.555555556,5,5,2.916666667
163,27,1,4.555555556,5.666666667,4.2,2.25
164,27,1,5.555555556,5.666666667,5.966666667,3.333333333
165,27,1,5.222222222,6.333333333,5.6,1.833333333
167,28,1,3.444444444,7,6.4,2
168,28,1,4.222222222,2.666666667,4.433333333,3.333333333
170,22,1,4.666666667,3.666666667,4.3,3.916666667
171,28,1,3.444444444,5,5.166666667,3.916666667
172,28,1,2.888888889,5,6.366666667,4
173,22,1,5.666666667,6,5.833333333,4.388888889
178,22,1,2.888888889,5.666666667,4.433333333,2.583333333
179,23,1,5.666666667,6.666666667,5.3,2
180,23,1,5,6.333333333,6.466666667,6.333333333
182,24,1,3.888888889,5,6.433333333,3.5
185,24,1,6.111111111,7,5.433333333,3.25
186,23,1,7,6.666666667,5.566666667,2.75
187,24,1,3.777777778,6.333333333,6.4,1.861111111
190,23,1,4.962962963,3.333333333,4.466666667,5.5
191,23,1,6.444444444,4.666666667,5.566666667,4
193,24,1,7,7,6.166666667,2
195,23,1,5.222222222,4.333333333,4.9,1.583333333
196,26,1,4.222222222,5,4.533333333,4.333333333
197,26,1,4.777777778,4.333333333,6.033333333,2.166666667
198,24,1,3.666666667,3.333333333,5.033333333,4.5
199,25,1,5.111111111,7,6,1.916666667
200,25,1,5.666666667,6,5.266666667,1.666666667
201,25,1,4.222222222,6,5.733333333,2.555555556
202,25,1,5.555555556,5.666666667,5.333333333,2.583333333
203,25,1,6,6,5.933333333,2.083333333
204,25,1,4.111111111,4.666666667,4.733333333,3.083333333
205,25,2,2.814814815,4,4.303703704,2.555555556
206,26,2,4.222222222,6,6.2,2.166666667
208,25,2,4,6,4.933333333,2.444444444
209,24,2,4.777777778,6.333333333,5.233333333,2
210,23,2,3.333333333,3,4.833333333,3.083333333
211,23,2,6,5,5.933333333,3.166666667
212,24,2,5.111111111,4.666666667,4.733333333,2.638888889
213,24,1,5.555555556,7,6,1.833333333
214,24,1,4.333333333,6.333333333,5.866666667,2.25
216,23,1,5.666666667,4,4.433333333,1.916666667
217,23,1,4.777777778,5,5.266666667,1.916666667
218,24,1,4.666666667,4.333333333,4.7,5.333333333
219,23,1,6.333333333,6.333333333,6.233333333,2.666666667
220,23,1,5.592592593,6.666666667,6.766666667,1.333333333
221,23,1,5.111111111,6,5.7,2.166666667
222,23,1,4.777777778,6.696969697,6.433333333,1.5
223,25,1,5.666666667,7,5.566666667,1.916666667
224,23,1,3.333333333,4.333333333,5.033333333,3
225,23,1,4.111111111,7,6.033333333,1.666666667
226,23,1,2.444444444,3,4.4,4
228,23,1,6.555555556,5.333333333,5.7,4.25
230,23,1,7,4,5,3.166666667
234,23,1,7,5,6.433333333,2.083333333
235,23,1,2.666666667,4,3.6,4.166666667
236,23,1,3.777777778,5.666666667,5.016666667,1.916666667
239,23,1,4.666666667,3,4.5,3.416666667
240,23,1,4.777777778,5,4.933333333,5
241,23,1,5.444444444,3.333333333,3.9,3.666666667
242,22,1,4.777777778,7,6.466666667,1.5
243,22,1,5.888888889,5,5.466666667,1.25
244,22,1,4.666666667,7,7,1
245,22,1,4.333333333,6,5.066666667,1.583333333
247,22,1,5.555555556,4,6.133333333,2.75
248,23,1,4,4.333333333,5.866666667,2.916666667
251,23,1,3.555555556,5,5.866666667,1.083333333
257,22,1,6,6,6.166666667,1.25
258,23,1,3.333333333,2.666666667,5.466666667,1.666666667
259,23,1,4.666666667,7,6.233333333,1.833333333
261,22,1,5.666666667,6,5.866666667,2.666666667
262,23,1,4.888888889,4,5.833333333,3.916666667
263,23,1,4.888888889,4.666666667,5.7,4.583333333
265,23,1,6,6.666666667,6.133333333,3.833333333
266,23,1,5.666666667,4.333333333,6.233333333,3.333333333
267,23,1,7,4,5.2,4
268,23,1,5.666666667,7,5.766666667,1.25
269,23,1,7,6,6.8,1.166666667
272,23,1,4.666666667,5.333333333,5.5,2.25
273,23,1,3.888888889,7,6.6,2.25
274,23,1,7,7,6.8,1
275,23,1,7,7,6.433333333,2.5
276,23,1,5.666666667,7,6.8,1.833333333
277,23,1,4.777777778,5.333333333,4.966666667,2.333333333
279,23,1,1.888888889,3.333333333,3.422222222,3.083333333
280,23,1,6.555555556,5.333333333,5.5,5.833333333
281,23,1,6.777777778,1.666666667,3.733333333,4.75
282,23,1,4.666666667,6.333333333,6.066666667,2.666666667
284,23,1,3.777777778,5.666666667,5.8,3.5
285,23,1,5.666666667,6,6.233333333,3.083333333
286,23,1,6.111111111,5.333333333,6.6,3.25
290,23,1,5.111111111,7,6.5,1.916666667
291,22,1,4.777777778,6.666666667,5.544444444,2.333333333
292,22,1,5.111111111,5.666666667,5.266666667,2.583333333
293,22,1,7,6.333333333,5.166666667,3.666666667
294,22,1,4.666666667,5.333333333,5.766666667,2.666666667
295,22,1,3.777777778,5.666666667,5.566666667,2.5
302,23,1,3.333333333,5.666666667,6.033333333,4.166666667
303,23,1,3.888888889,5.666666667,4.5,2.416666667
304,22,1,3.777777778,3,3.6,1.75
305,23,1,4.222222222,6.333333333,6.366666667,2.416666667
306,23,1,3.666666667,4.333333333,5.8,2
307,22,1,4.777777778,4.666666667,5.633333333,1.833333333
308,23,1,4.666666667,5,5.766666667,4.166666667
309,23,1,5.888888889,6.333333333,6.533333333,1.75
310,23,1,5.111111111,6,6.466666667,1.416666667
312,23,1,4.666666667,4.333333333,5.083333333,2.166666667
315,23,1,6,5.666666667,5.933333333,2.416666667
316,23,2,4.555555556,5.666666667,6.111111111,2.666666667
